player_name,club_name,position_name,now_cost,total_points,event_points,points_per_game,selected_by_percent,goals_scored,assists,minutes,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,saves,yellow_cards,red_cards,bonus,influence,creativity,threat,ict_index,form,dreamteam_count,value_form,value_season,transfers_in,transfers_out,transfers_in_event,transfers_out_event,cost_change_start,cost_change_start_fall,cost_change_event,cost_change_event_fall,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,tackles,clearances_blocks_interceptions,recoveries,defensive_contribution,defensive_contribution_per_90,news,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,expected_goals_per_90,saves_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,goals_conceded_per_90,now_cost_rank,now_cost_rank_type,form_rank,form_rank_type,points_per_game_rank,points_per_game_rank_type,selected_rank,selected_rank_type,starts_per_90,clean_sheets_per_90
Benjamin Šeško,Man Utd,FWD,7.2,37,2,2.8,3.1,2,2,709,1,16,0,0,0,0,1,0,5,124.0,98.6,240.0,45.6,1.0,1,0.1,5.1,528964,1219578,2238,1717,-0.3,0.3,0.0,0.0,2.29,0.17,2.46,12.28,7,3,11,16,30,3.81,,236,20,175,15,50,17,147,18,,,,,,,0.29,0.0,0.02,0.31,1.56,2.03,32,14,303,37,203,21,103,17,0.89,0.13
Alexis Mac Allister,Liverpool,MID,6.2,37,1,2.3,1.3,0,2,1092,4,16,0,0,0,0,2,0,0,162.6,178.8,124.0,46.6,2.0,0,0.3,6.0,114162,211930,6608,1443,-0.3,0.3,0.0,0.0,1.57,0.71,2.28,14.03,14,18,25,46,89,7.34,,205,84,87,63,120,70,143,74,,,,,3.0,,0.13,0.0,0.06,0.19,1.16,1.32,78,51,195,88,250,112,162,53,1.15,0.33
Yéremy Yeremy,Crystal Palace,MID,5.8,37,2,2.5,0.3,1,1,1014,5,13,0,0,0,0,3,0,1,161.2,319.6,198.0,67.6,3.7,0,0.6,6.4,102915,63445,1573,1580,-0.2,0.2,0.0,0.0,2.83,2.72,5.55,14.16,13,20,13,47,80,7.1,,206,85,31,30,67,40,67,42,1.0,,1.0,,,,0.25,0.0,0.24,0.49,1.26,1.15,111,72,86,38,231,103,291,101,1.15,0.44
Lukas Nmecha,Leeds,FWD,5.0,37,0,2.6,0.6,4,0,489,1,12,0,0,1,0,0,0,4,156.2,29.7,217.0,40.3,2.3,0,0.5,7.4,170629,179304,153,2539,0.0,0.0,0.0,0.0,4.41,0.3,4.71,9.45,5,4,10,11,25,4.6,Hamstring injury - Expected back 28 Dec,212,16,317,36,63,22,178,22,,,,,1.0,,0.81,0.0,0.06,0.87,1.74,2.21,243,48,163,18,216,23,242,38,0.92,0.18
Noah Sadiki,Sunderland,MID,5.0,37,0,2.3,0.1,0,0,1414,5,17,0,0,0,0,4,0,0,159.4,155.6,37.0,35.3,1.8,0,0.4,7.4,7807,9438,5,171,0.0,0.0,0.0,0.0,0.24,0.75,0.99,20.09,16,20,50,48,118,7.51,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,208,87,107,78,279,148,212,108,,,,,,,0.02,0.0,0.05,0.07,1.28,1.08,279,173,207,93,249,111,564,208,1.02,0.32
Tanaka Tanaka,Leeds,MID,4.8,37,1,2.6,0.3,2,0,633,2,14,0,0,0,0,1,0,2,123.2,99.4,70.0,29.2,4.0,0,0.8,7.7,39810,31050,1605,1246,-0.2,0.2,0.0,0.0,0.63,0.52,1.15,12.25,7,12,19,34,65,9.24,,237,103,174,118,205,117,246,125,,,,,,,0.09,0.0,0.07,0.16,1.74,1.99,351,219,59,27,215,94,299,102,1.0,0.28
Gabriel Gudmundsson,Leeds,DEF,3.8,37,2,2.2,3.8,0,0,1380,2,27,1,0,0,0,2,0,6,280.6,266.8,89.0,63.6,1.7,0,0.4,9.7,678011,566696,10414,2685,-0.2,0.2,0.0,0.0,0.88,1.57,2.45,20.15,16,39,69,62,108,7.04,,97,44,40,5,177,36,76,16,,,,,,,0.06,0.0,0.1,0.16,1.31,1.76,750,236,216,73,252,93,93,33,1.04,0.13
Reinildo Reinildo,Sunderland,DEF,3.9,37,0,3.1,3.1,0,1,1022,3,12,0,0,0,0,4,1,3,186.4,33.9,25.0,24.7,3.2,1,0.8,9.5,459972,873151,310,9857,-0.1,0.1,0.0,0.0,0.1,0.08,0.18,14.0,12,24,68,45,92,8.1,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,178,74,304,98,305,98,266,91,,,,,,,0.01,0.0,0.01,0.02,1.23,1.06,710,209,103,37,153,57,102,39,1.06,0.26
Kyle Walker,Burnley,DEF,4.4,36,2,2.2,1.2,0,1,1426,2,31,0,0,0,0,5,0,3,248.4,75.5,18.0,34.3,1.2,1,0.3,8.2,116565,222535,779,798,-0.1,0.1,0.0,0.0,0.12,0.53,0.65,32.47,16,29,86,82,115,7.26,,124,54,216,58,326,109,218,71,,,,,,,0.01,0.0,0.03,0.04,2.05,1.96,492,100,269,96,258,97,172,70,1.01,0.13
Lyle Foster,Burnley,FWD,5.0,36,0,2.8,1.0,2,1,866,3,19,0,0,0,0,2,0,4,128.4,107.0,127.0,35.8,1.3,0,0.3,7.2,428816,395897,52,4270,0.0,0.0,0.0,0.0,1.6,0.25,1.85,17.93,11,8,17,24,49,5.09,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,233,19,164,13,117,31,206,25,,,,,,,0.17,0.0,0.03,0.2,1.86,1.97,258,51,257,31,195,19,183,26,1.14,0.31
Murillo Murillo,Nott'm Forest,DEF,5.2,36,0,3.6,1.9,1,0,829,2,13,0,0,0,0,2,0,3,228.2,27.1,36.0,29.2,3.8,1,0.7,6.9,158197,686981,1624,1517,-0.3,0.3,0.0,0.0,0.25,0.25,0.5,12.04,10,15,71,45,86,9.34,,140,57,325,110,284,88,247,80,,,3.0,,,,0.03,0.0,0.03,0.06,1.31,1.41,224,34,75,30,107,40,134,52,1.09,0.22
Diego Gomez,Brighton,MID,4.9,36,0,2.4,0.1,2,0,956,3,15,0,0,0,0,5,0,3,209.8,179.7,254.0,64.4,1.3,1,0.3,7.3,51096,44340,171,480,-0.1,0.1,0.0,0.0,3.54,0.82,4.36,12.95,11,34,21,41,96,9.04,,157,61,86,62,43,27,74,47,,,3.0,,,,0.33,0.0,0.08,0.41,1.22,1.41,330,203,256,120,235,105,404,132,1.04,0.28
Sander Berge,Fulham,MID,4.9,36,0,2.2,0.1,0,1,1393,3,25,1,0,0,0,2,0,0,198.0,192.1,42.0,43.3,1.5,0,0.3,7.3,6569,8302,130,63,-0.1,0.1,0.0,0.0,0.6,0.73,1.33,20.98,16,25,38,62,125,8.08,,167,67,79,58,272,146,161,83,,,,,,,0.04,0.0,0.05,0.09,1.36,1.62,301,185,239,111,264,116,509,178,1.03,0.19
Nicolò Savona,Nott'm Forest,DEF,4.5,35,0,3.2,0.2,2,0,834,3,14,0,0,0,0,2,0,0,184.8,101.8,88.0,37.5,3.8,1,0.8,7.8,41404,20594,406,453,0.0,0.0,0.0,0.0,1.26,0.39,1.65,12.01,9,17,31,25,48,5.18,,179,75,172,41,178,37,192,65,,,,,,,0.14,0.0,0.04,0.18,1.3,1.51,438,91,68,24,145,54,369,136,0.97,0.32
Samuel Chukwueze,Fulham,MID,5.3,35,0,3.9,0.2,2,4,393,0,10,0,0,0,0,0,0,1,170.6,140.8,124.0,43.6,4.7,1,0.9,6.6,88775,64260,88,3408,-0.2,0.2,0.0,0.0,1.02,2.16,3.18,6.03,3,2,7,24,33,7.56,On international duty at the Africa Cup of Nations from Gameweek 17 onwards. - Unknown return date,193,78,121,88,119,69,159,81,,,,,,,0.23,0.0,0.49,0.72,1.38,2.29,192,118,33,15,83,36,359,120,0.69,0.0
Luke Shaw,Man Utd,DEF,4.5,35,1,2.1,0.6,0,1,1461,2,25,0,0,0,0,2,0,0,255.2,110.0,19.0,38.5,1.2,0,0.3,7.8,101547,66641,1281,1086,0.0,0.0,0.0,0.0,0.08,0.72,0.8,21.23,17,36,57,50,93,5.73,,117,50,158,37,322,107,188,63,,,,,,,0.0,0.0,0.04,0.04,1.31,1.54,400,76,270,97,274,104,230,84,1.05,0.12
Alphonse Areola,West Ham,GKP,4.3,35,2,2.7,2.2,0,1,1170,0,24,0,0,0,51,0,0,2,401.0,10.0,0.0,41.0,3.3,0,0.8,8.1,103479,357665,2271,1449,-0.2,0.2,0.0,0.0,0.0,0.0,0.0,22.68,13,0,20,92,0,0.0,,23,6,375,5,545,58,174,4,,,,,,,0.0,3.92,0.0,0.0,1.74,1.85,544,27,99,9,207,19,127,16,1.0,0.0
